,0
21.527597402597408,-134.89285714285714
41.438311688311714,-130.6693722943723
33.59469696969698,-125.23917748917748
138.57846320346323,-145.75324675324674
98.75703463203466,-133.08279220779218
87.89664502164506,-134.89285714285714
77.63961038961041,-128.85930735930737
73.41612554112557,-126.44588744588744
77.03625541125542,-121.01569264069263
72.81277056277058,-116.1888528138528
48.67857142857143,-120.41233766233765
52.29870129870132,-115.58549783549782
45.05844155844157,-115.58549783549782
33.59469696969698,-99.89826839826839
64.36580086580089,-106.53517316017314
67.98593073593075,-84.81439393939394
103.58387445887449,-105.3284632034632
37.81818181818183,-65.50703463203462
118.66774891774897,-95.67478354978354
140.38852813852816,-97.48484848484847
122.89123376623381,-87.22781385281382
119.87445887445891,-81.19426406926405
111.42748917748922,-84.81439393939394
139.7851731601732,-74.55735930735929
150.04220779220788,-64.30032467532465
133.14826839826844,-64.90367965367963
142.1985930735931,-63.0936147186147
142.1985930735931,-54.646645021645014
147.62878787878793,-46.1996753246753
128.3214285714286,-45.59632034632034
120.4778138528139,-28.09902597402595
